episode,reward,robot_x,robot_y,target_x,target_y
1,2784.1243,-2.2296,-1.5144,1.475,2.525
2,635.2803,-0.3101,-2.6453,1.475,2.525
3,14182.8648,-1.6006,-0.1251,1.475,2.525
4,2374.3564,-2.1808,-1.5342,1.475,2.525
5,1962.6632,-2.2508,-1.5234,1.475,2.525
6,1961.7725,-2.2952,-1.5261,1.475,2.525
7,2477.1069,-2.1714,-1.5371,1.475,2.525
8,14655.2126,-0.4793,-1.7014,1.475,2.525
9,21970.7122,-0.3492,-0.3205,1.475,2.525
10,15672.7567,-0.4702,-1.4194,1.475,2.525
11,15661.614,-0.4738,-1.2262,1.475,2.525
12,15464.0136,-0.4669,-1.0707,1.475,2.525
13,2271.4009,-2.1956,-1.5263,1.475,2.525
14,17565.1593,-0.5733,-0.3271,1.475,2.525
15,1550.6128,-2.3193,-1.5128,1.475,2.525
16,2888.9167,-2.1416,-1.5368,1.475,2.525
17,-338.0234,-0.577,-2.6515,1.475,2.525
18,2065.1622,-2.2433,-1.5348,1.475,2.525
19,17462.7363,-0.8094,-0.2608,1.475,2.525
20,32049.6102,-1.5872,2.1323,1.475,2.525
21,15967.2239,-0.4802,-1.3331,1.475,2.525
22,16080.2123,-0.4793,-1.1658,1.475,2.525
23,1653.6031,-2.3019,-1.5259,1.475,2.525
24,-1725.4566,-0.4636,-2.6641,1.475,2.525
25,-3200.0131,-1.1678,-2.6481,1.475,2.525
26,15635.4384,-0.4831,-1.7711,1.475,2.525
27,37869.7639,1.4249,1.1537,1.475,2.525
28,14226.3455,-1.6012,-0.0445,1.475,2.525
29,13223.8691,-1.6554,-0.1177,1.475,2.525
30,15544.3453,-0.483,-1.5191,1.475,2.525
31,2271.4777,-2.2437,-1.5256,1.475,2.525
32,7951.3721,-0.4714,-1.7432,1.475,2.525
33,14318.3217,-1.6203,-0.1653,1.475,2.525
34,4535.9467,-1.8978,-1.559,1.475,2.525
35,3301.2688,-2.0758,-1.5186,1.475,2.525
36,2271.1726,-2.2339,-1.5417,1.475,2.525
37,14321.2977,-0.4731,-1.7481,1.475,2.525
38,15899.475,-0.468,-1.1152,1.475,2.525
39,3671.7134,-1.5479,-2.0082,1.475,2.525
40,15235.0189,-0.4769,-1.5416,1.475,2.525
41,2785.9685,-2.2267,-1.5379,1.475,2.525
42,16806.0233,-0.4491,-0.9981,1.475,2.525
43,2992.0215,-2.1208,-1.5422,1.475,2.525
44,2374.439,-2.1806,-1.5274,1.475,2.525
45,2683.0268,-2.1857,-1.5392,1.475,2.525
46,2579.7964,-2.2318,-1.5391,1.475,2.525
47,14127.9293,-0.4321,-1.0518,1.475,2.525
48,2373.9507,-2.2324,-1.5403,1.475,2.525
49,1756.3988,-2.2769,-1.5207,1.475,2.525
50,20349.1258,-0.3815,-0.3087,1.475,2.525
51,2065.4832,-2.2416,-1.5327,1.475,2.525
52,2580.2123,-2.1529,-1.5289,1.475,2.525
53,2580.5506,-2.1914,-1.5294,1.475,2.525
54,-154.0386,-1.2653,-2.6551,1.475,2.525
55,16746.3356,-0.9447,-0.0234,1.475,2.525
56,-84.5293,-0.8499,-2.6498,1.475,2.525
57,3918.6601,-2.0176,-1.5077,1.475,2.525
58,2683.0212,-2.1549,-1.5458,1.475,2.525
59,1447.4037,-2.3341,-1.515,1.475,2.525
60,1447.736,-2.3183,-1.5246,1.475,2.525
61,2683.841,-2.1616,-1.5408,1.475,2.525
62,1653.6451,-2.2993,-1.5118,1.475,2.525
63,1653.4893,-2.3027,-1.5275,1.475,2.525
64,17989.2796,-0.9344,0.1132,1.475,2.525
65,2271.2468,-2.21,-1.5375,1.475,2.525
