Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,130.0000,75.0000,130.2096,74.7232,130.1688,74.7940,1.3970
1,129.9981,75.3333,129.9616,74.9868,129.9585,74.9565,1.1335
2,129.9926,75.6666,129.9036,75.7333,129.8680,75.6757,1.7783
3,129.9833,75.9998,130.1684,76.1522,130.0915,76.0555,6.6327
4,129.9704,76.3329,129.7529,76.4949,129.9036,76.5212,3.1715
5,129.9537,76.6658,129.8634,77.2914,129.9115,76.9316,3.2182
6,129.9334,76.9985,130.0433,76.8768,129.9492,77.2256,2.0553
7,129.9093,77.3310,130.2015,76.8063,130.0404,77.3793,4.0992
8,129.8816,77.6632,129.6835,77.7915,129.9107,77.5853,3.6484
9,129.8501,77.9950,130.1103,77.9401,130.0352,77.8494,3.2787
10,129.8150,78.3265,129.8295,78.5825,129.9574,78.2756,1.8981
11,129.7762,78.6575,129.8932,78.0636,129.9004,78.4601,2.7556
12,129.7337,78.9882,129.7655,78.9953,129.8628,78.7097,1.9156
13,129.6876,79.3183,129.6486,78.9395,129.7202,79.0241,2.8051
14,129.6378,79.6479,129.7010,79.1977,129.6599,79.3135,0.7523
15,129.5843,79.9769,129.4811,80.1822,129.5611,79.8105,4.9659
16,129.5272,80.3053,129.6706,80.3862,129.5372,80.2865,3.9937
17,129.4664,80.6330,129.7175,80.3113,129.5560,80.5270,1.8665
18,129.4020,80.9601,129.6617,81.0661,129.5348,81.0935,7.7724
19,129.3340,81.2864,129.0643,81.7033,129.3550,81.4431,4.4763
20,129.2623,81.6119,129.0247,81.6042,129.1857,81.7022,2.6780
21,129.1870,81.9367,129.1188,81.5802,129.0916,81.9026,1.7651
22,129.1082,82.2605,129.1701,81.9644,129.0291,82.2152,1.5786
23,129.0257,82.5835,128.8142,82.7318,128.9034,82.5663,2.0183
24,128.9396,82.9055,128.9150,83.0448,128.8320,82.9262,0.4936
25,128.8500,83.2266,128.6782,83.0569,128.7118,83.2131,2.0062
26,128.7568,83.5466,128.5859,83.3829,128.5853,83.4800,2.1891
27,128.6601,83.8656,128.8433,84.0476,128.5764,83.8888,5.4856
28,128.5598,84.1835,128.4912,84.3444,128.4520,84.3276,4.2125
29,128.4560,84.5003,128.5247,84.1660,128.3874,84.5120,4.4512
30,128.3487,84.8158,128.1427,85.1331,128.2574,84.7958,4.4210
31,128.2379,85.1302,128.1692,85.6276,128.1390,85.2762,4.5765
32,128.1236,85.4433,128.2992,85.5095,128.0927,85.5968,3.0191
33,128.0058,85.7552,128.1925,85.2779,128.0117,85.8744,4.6860
34,127.8846,86.0657,127.6005,86.0624,127.8287,86.1358,2.8387
35,127.7599,86.3748,127.8671,86.5984,127.7346,86.5388,2.9003
36,127.6318,86.6826,127.5296,87.1614,127.5952,86.9234,1.6365
37,127.5003,86.9888,127.5518,87.0475,127.4804,87.2102,0.9791
38,127.3654,87.2937,127.1758,87.2838,127.3079,87.4834,1.4112
39,127.2271,87.5970,127.5379,88.0129,127.2498,87.8454,3.4433
40,127.0855,87.8987,126.7546,87.8330,127.0305,88.1067,4.1131
41,126.9405,88.1988,127.1859,88.0141,126.9360,88.3664,5.9234
42,126.7922,88.4974,126.7775,88.6009,126.7958,88.6444,2.1983
43,126.6406,88.7942,126.7059,88.6167,126.6520,88.9128,1.2074
44,126.4857,89.0894,126.8012,88.6706,126.5409,89.2066,8.1767
45,126.3275,89.3828,126.5806,89.4252,126.4324,89.4854,1.3486
46,126.1660,89.6744,126.0583,89.6679,126.2324,89.7749,1.5580
47,126.0014,89.9642,126.1755,89.4893,126.0949,89.9779,3.6746
48,125.8335,90.2522,125.9592,90.1064,125.9430,90.2173,1.0809
49,125.6625,90.5383,125.4246,90.5729,125.7150,90.5085,3.0726
50,125.4882,90.8225,125.5360,90.6722,125.5345,90.7859,2.4768
51,125.3109,91.1047,125.2834,90.5638,125.3431,90.9954,2.3213
52,125.1304,91.3849,125.0522,91.5759,125.1240,91.3962,15.9801
53,124.9468,91.6631,125.1125,91.8107,124.9670,91.7116,1.5790
54,124.7601,91.9393,124.7650,91.7512,124.7773,91.9690,0.9427
55,124.5703,92.2133,124.5874,92.8760,124.6025,92.2432,10.6106
56,124.3776,92.4853,124.1274,92.6821,124.3594,92.5517,2.1546
57,124.1818,92.7550,124.1760,92.6496,124.1598,92.8337,1.2762
58,123.9830,93.0226,123.9284,92.7133,123.9475,93.0346,5.2852
59,123.7813,93.2880,123.7809,92.7013,123.7420,93.2670,4.7125
60,123.5766,93.5511,123.5937,93.1506,123.5374,93.4981,1.2730
61,123.3690,93.8119,123.2487,93.6599,123.3141,93.7506,1.6247
62,123.1586,94.0704,123.5002,94.4199,123.1651,94.0762,5.9217
63,122.9453,94.3265,123.1141,95.1104,122.9806,94.4387,5.9957
64,122.7291,94.5803,122.9352,94.6337,122.7911,94.6776,2.4791
65,122.5102,94.8316,122.5796,95.0140,122.5820,94.9661,10.1470
66,122.2884,95.0805,122.0188,95.0841,122.3085,95.1620,7.5350
67,122.0639,95.3269,121.7123,95.4239,122.0214,95.3984,3.9330
68,121.8367,95.5708,122.0704,95.8172,121.8337,95.6749,2.1679
69,121.6068,95.8122,121.6031,95.8745,121.6015,95.9053,0.8123
70,121.3742,96.0509,121.0474,96.2767,121.3116,96.1555,3.3944
71,121.1390,96.2871,121.5144,96.5051,121.1425,96.3756,8.9247
72,120.9012,96.5207,120.9158,96.6376,120.9046,96.6067,0.8352
73,120.6608,96.7516,120.4429,96.8027,120.6228,96.8524,1.1830
74,120.4178,96.9798,120.4802,97.0460,120.3843,97.0893,1.8696
75,120.1724,97.2053,120.1563,96.7941,120.1310,97.2686,2.6021
76,119.9244,97.4281,119.7302,97.4646,119.8500,97.4884,1.3865
77,119.6740,97.6481,119.8878,97.5616,119.6318,97.7102,2.2970
78,119.4211,97.8653,119.3244,98.0464,119.3582,97.9528,2.2506
79,119.1659,98.0796,119.1941,98.2136,119.1075,98.1731,0.9118
80,118.9083,98.2912,119.2134,98.0264,118.8897,98.3939,5.5193
81,118.6483,98.4998,118.6456,97.9254,118.6209,98.5349,5.0877
82,118.3860,98.7056,118.2835,99.0804,118.3396,98.7854,0.8860
83,118.1215,98.9084,118.0670,98.8254,118.0631,98.9688,1.6485
84,117.8548,99.1082,117.7049,98.9635,117.7722,99.1533,1.0034
85,117.5858,99.3051,117.4220,99.2155,117.4785,99.3517,0.4349
86,117.3147,99.4990,117.2156,99.7678,117.2001,99.5804,3.6235
87,117.0414,99.6899,117.1548,99.2077,116.9422,99.7427,3.9867
