Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,130.0000,75.0000,130.2096,74.7232,130.1688,74.7940,1.5522
1,129.9981,75.3333,129.9616,74.9868,129.9568,74.9585,1.2434
2,129.9926,75.6666,129.9036,75.7333,129.8725,75.6900,1.7962
3,129.9833,75.9998,130.1684,76.1522,130.1258,76.0521,6.8432
4,129.9704,76.3329,129.7529,76.4949,129.8794,76.5196,3.3915
5,129.9537,76.6658,129.8634,77.2914,129.9136,76.9232,3.6000
6,129.9334,76.9985,130.0433,76.8768,129.9651,77.1940,2.0728
7,129.9093,77.3310,130.2015,76.8063,130.0670,77.3181,3.8703
8,129.8816,77.6632,129.6835,77.7915,129.8747,77.5428,3.5802
9,129.8501,77.9950,130.1103,77.9401,130.0557,77.8433,3.6340
10,129.8150,78.3265,129.8295,78.5825,129.9316,78.3247,1.6463
11,129.7762,78.6575,129.8932,78.0636,129.8699,78.4708,3.1048
12,129.7337,78.9882,129.7655,78.9953,129.8432,78.7258,2.0968
13,129.6876,79.3183,129.6486,78.9395,129.6686,79.0622,2.5650
14,129.6378,79.6479,129.7010,79.1977,129.6413,79.3537,0.7739
15,129.5843,79.9769,129.4811,80.1822,129.5432,79.9202,4.2799
16,129.5272,80.3053,129.6706,80.3862,129.5635,80.4110,3.2362
17,129.4664,80.6330,129.7175,80.3113,129.6219,80.5505,2.0435
18,129.4020,80.9601,129.6617,81.0661,129.5904,81.2135,7.1634
19,129.3340,81.2864,129.0643,81.7033,129.2946,81.4905,4.9398
20,129.2623,81.6119,129.0247,81.6042,129.0954,81.6630,2.0814
21,129.1870,81.9367,129.1188,81.5802,129.0593,81.7903,1.1955
22,129.1082,82.2605,129.1701,81.9644,129.0548,82.1427,1.8044
23,129.0257,82.5835,128.8142,82.7318,128.9009,82.5417,2.4396
24,128.9396,82.9055,128.9150,83.0448,128.8731,82.9335,0.4066
25,128.8500,83.2266,128.6782,83.0569,128.7245,83.1817,2.2272
26,128.7568,83.5466,128.5859,83.3829,128.5846,83.4157,2.2096
27,128.6601,83.8656,128.8433,84.0476,128.7033,83.9287,4.6030
28,128.5598,84.1835,128.4912,84.3444,128.5000,84.4414,4.2497
29,128.4560,84.5003,128.5247,84.1660,128.4693,84.4321,4.4077
30,128.3487,84.8158,128.1427,85.1331,128.2783,84.7119,4.9018
31,128.2379,85.1302,128.1692,85.6276,128.1563,85.3862,4.5595
32,128.1236,85.4433,128.2992,85.5095,128.2016,85.6415,2.5053
33,128.0058,85.7552,128.1925,85.2779,128.1109,85.8367,4.7484
34,127.8846,86.0657,127.6005,86.0624,127.7831,86.0379,2.7796
35,127.7599,86.3748,127.8671,86.5984,127.7656,86.5759,3.4185
36,127.6318,86.6826,127.5296,87.1614,127.5938,87.0071,1.4895
37,127.5003,86.9888,127.5518,87.0475,127.5051,87.1980,1.2013
38,127.3654,87.2937,127.1758,87.2838,127.2592,87.4029,1.0264
39,127.2271,87.5970,127.5379,88.0129,127.3625,87.8487,3.0564
40,127.0855,87.8987,126.7546,87.8330,126.9458,88.0169,3.9274
41,126.9405,88.1988,127.1859,88.0141,126.9863,88.2326,5.9309
42,126.7922,88.4974,126.7775,88.6009,126.8301,88.5163,2.0766
43,126.6406,88.7942,126.7059,88.6167,126.6775,88.7787,0.8549
44,126.4857,89.0894,126.8012,88.6706,126.6265,89.1123,8.5926
45,126.3275,89.3828,126.5806,89.4252,126.5501,89.3941,0.4963
46,126.1660,89.6744,126.0583,89.6679,126.1953,89.7032,1.9950
47,126.0014,89.9642,126.1755,89.4893,126.1150,89.7878,2.4377
48,125.8335,90.2522,125.9592,90.1064,125.9677,90.0286,0.3403
49,125.6625,90.5383,125.4246,90.5729,125.5986,90.4114,2.7609
50,125.4882,90.8225,125.5360,90.6722,125.4618,90.7224,2.7974
51,125.3109,91.1047,125.2834,90.5638,125.2746,90.8380,1.2246
52,125.1304,91.3849,125.0522,91.5759,125.0151,91.5262,16.8798
53,124.9468,91.6631,125.1125,91.8107,124.9765,91.8486,1.6118
54,124.7601,91.9393,124.7650,91.7512,124.7738,92.0018,1.4663
55,124.5703,92.2133,124.5874,92.8760,124.6341,92.2527,11.7350
56,124.3776,92.4853,124.1274,92.6821,124.2643,92.6127,1.5967
57,124.1818,92.7550,124.1760,92.6496,124.1161,92.8758,1.5578
58,123.9830,93.0226,123.9284,92.7133,123.9044,92.9112,5.0936
59,123.7813,93.2880,123.7809,92.7013,123.7263,93.1207,4.6444
60,123.5766,93.5511,123.5937,93.1506,123.5444,93.3428,0.8299
61,123.3690,93.8119,123.2487,93.6599,123.2960,93.6396,1.7868
62,123.1586,94.0704,123.5002,94.4199,123.3207,94.1467,4.7994
63,122.9453,94.3265,123.1141,95.1104,123.1297,94.6841,2.9512
64,122.7291,94.5803,122.9352,94.6337,122.9232,94.7576,3.2850
65,122.5102,94.8316,122.5796,95.0140,122.6664,95.0610,10.9928
66,122.2884,95.0805,122.0188,95.0841,122.2178,95.0659,7.7418
67,122.0639,95.3269,121.7123,95.4239,121.8352,95.2914,1.6764
68,121.8367,95.5708,122.0704,95.8172,121.8686,95.6595,3.6488
69,121.6068,95.8122,121.6031,95.8745,121.6255,95.8382,0.7091
70,121.3742,96.0509,121.0474,96.2767,121.1940,96.1074,2.7466
71,121.1390,96.2871,121.5144,96.5051,121.2826,96.2790,8.5931
72,120.9012,96.5207,120.9158,96.6376,120.9848,96.5095,0.8725
73,120.6608,96.7516,120.4429,96.8027,120.5701,96.7939,1.3534
74,120.4178,96.9798,120.4802,97.0460,120.3964,97.0385,2.1227
75,120.1724,97.2053,120.1563,96.7941,120.1394,97.0894,1.5554
76,119.9244,97.4281,119.7302,97.4646,119.7942,97.3409,1.0856
77,119.6740,97.6481,119.8878,97.5616,119.7260,97.5946,1.9778
78,119.4211,97.8653,119.3244,98.0464,119.3751,97.9092,2.9673
79,119.1659,98.0796,119.1941,98.2136,119.1599,98.1211,0.7579
80,118.9083,98.2912,119.2134,98.0264,119.0548,98.3440,4.2140
81,118.6483,98.4998,118.6456,97.9254,118.6979,98.2898,3.5861
82,118.3860,98.7056,118.2835,99.0804,118.3551,98.7165,2.3126
83,118.1215,98.9084,118.0670,98.8254,118.0713,98.8342,1.1734
