Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,80.0000,55.0000,80.1102,54.7224,80.1240,54.6992,1.1749
1,80.3333,55.0000,80.1921,54.6375,80.2513,54.6243,0.8169
2,80.6667,55.0000,80.6241,55.1191,80.5351,55.0206,1.4575
3,81.0000,55.0000,81.3250,55.1329,81.1559,55.1843,5.6466
4,81.3333,55.0000,81.2364,55.2316,81.3212,55.3104,3.5764
5,81.6667,55.0000,81.5767,55.4236,81.6732,55.4324,1.8636
6,82.0000,55.0000,82.1785,54.9947,82.0386,55.3026,3.4231
7,82.3333,55.0000,82.6265,54.6297,82.4504,55.0166,4.9162
8,82.6667,55.0000,82.4731,55.0179,82.7060,54.9733,3.4680
9,83.0000,55.0000,83.3514,54.9508,83.2074,54.9322,3.0313
10,83.3333,55.0000,83.3393,55.1878,83.4819,54.9997,1.6108
11,83.6667,55.0000,83.8323,54.5831,83.7860,54.7931,2.6496
12,84.0000,55.0000,84.0372,54.9133,84.1427,54.7746,2.6987
13,84.3333,55.0000,84.2224,54.6851,84.3502,54.6711,1.8884
14,84.6667,55.0000,84.7130,54.6407,84.6640,54.5951,0.2883
15,85.0000,55.0000,85.0062,55.2425,84.9716,54.8143,6.3982
16,85.3333,55.0000,85.4160,55.0777,85.3087,54.8872,3.8987
17,85.6667,55.0000,85.8559,54.6797,85.7148,54.7831,1.6068
18,86.0000,55.0000,86.3692,55.2754,86.0763,54.9768,10.0495
19,86.3333,55.0000,86.1077,55.3284,86.3324,55.0995,3.5943
20,86.6667,55.0000,86.3617,54.9361,86.5740,55.0440,2.0315
21,87.0000,55.0000,86.9009,54.6768,86.8925,54.9242,1.3856
22,87.3333,55.0000,87.3774,54.7846,87.2312,54.8782,1.1540
23,87.6667,55.0000,87.5321,55.1688,87.5416,54.9647,2.7324
24,88.0000,55.0000,87.9697,55.1105,87.8899,55.0051,0.5718
25,88.3333,55.0000,88.2400,54.9294,88.2030,54.9993,2.2225
26,88.6667,55.0000,88.3899,54.7828,88.4979,54.9216,2.0150
27,89.0000,55.0000,89.2820,55.2377,88.9184,55.0218,5.5585
28,89.3333,55.0000,89.2484,55.2015,89.2089,55.0851,4.4143
29,89.6667,55.0000,89.6684,54.6311,89.5869,54.9617,3.9330
30,90.0000,55.0000,89.7301,55.1475,89.9168,54.9780,4.7671
31,90.3333,55.0000,90.2979,55.4968,90.2322,55.1181,4.7622
32,90.6667,55.0000,90.9247,55.1176,90.6360,55.1438,2.9041
33,91.0000,55.0000,91.2340,54.6885,90.9919,55.0741,4.9354
34,91.3333,55.0000,91.0491,54.9922,91.2768,55.0547,2.3771
35,91.6667,55.0000,91.8430,55.2846,91.6321,55.1313,3.3476
36,92.0000,55.0000,91.9732,55.4820,91.9601,55.2287,1.5453
37,92.3333,55.0000,92.3514,55.0183,92.3088,55.1957,1.1822
38,92.6667,55.0000,92.4888,55.0169,92.6096,55.1723,1.0258
