Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,80.0000,55.0000,80.1102,54.7224,80.1240,54.6991,1.3054
1,80.3333,55.0000,80.1921,54.6375,80.2523,54.6233,0.9027
2,80.6667,55.0000,80.6241,55.1191,80.5413,55.0314,1.4910
3,81.0000,55.0000,81.3250,55.1329,81.1947,55.1852,5.5920
4,81.3333,55.0000,81.2364,55.2316,81.2927,55.3021,3.7497
5,81.6667,55.0000,81.5767,55.4236,81.6681,55.4216,2.1061
6,82.0000,55.0000,82.1785,54.9947,82.0434,55.2478,3.3327
7,82.3333,55.0000,82.6265,54.6297,82.4671,54.9270,4.3121
8,82.6667,55.0000,82.4731,55.0179,82.6810,54.9460,3.7841
9,83.0000,55.0000,83.3514,54.9508,83.2411,54.9429,3.1288
10,83.3333,55.0000,83.3393,55.1878,83.4585,55.0514,1.4018
11,83.6667,55.0000,83.8323,54.5831,83.7569,54.7973,3.0277
12,84.0000,55.0000,84.0372,54.9133,84.1360,54.8108,2.8778
13,84.3333,55.0000,84.2224,54.6851,84.2936,54.6982,1.5929
14,84.6667,55.0000,84.7130,54.6407,84.6462,54.6289,0.3047
15,85.0000,55.0000,85.0062,55.2425,84.9714,54.9460,5.3814
16,85.3333,55.0000,85.4160,55.0777,85.3317,55.0024,3.6211
17,85.6667,55.0000,85.8559,54.6797,85.7850,54.8135,1.5330
18,86.0000,55.0000,86.3692,55.2754,86.1330,55.0915,9.8774
19,86.3333,55.0000,86.1077,55.3284,86.3061,55.2116,3.3983
20,86.6667,55.0000,86.3617,54.9361,86.5070,55.0568,2.0741
21,87.0000,55.0000,86.9009,54.6768,86.8775,54.8524,1.2711
22,87.3333,55.0000,87.3774,54.7846,87.2576,54.8109,1.1218
23,87.6667,55.0000,87.5321,55.1688,87.5605,54.9854,3.2007
24,88.0000,55.0000,87.9697,55.1105,87.9411,55.0388,0.3101
25,88.3333,55.0000,88.2400,54.9294,88.2301,55.0046,2.5178
26,88.6667,55.0000,88.3899,54.7828,88.4955,54.8585,2.0167
27,89.0000,55.0000,89.2820,55.2377,89.0438,55.0660,4.6911
28,89.3333,55.0000,89.2484,55.2015,89.2318,55.1504,5.1962
29,89.6667,55.0000,89.6684,54.6311,89.6683,54.8761,3.4277
30,90.0000,55.0000,89.7301,55.1475,89.9613,54.9404,5.5284
31,90.3333,55.0000,90.2979,55.4968,90.2422,55.2224,4.7839
32,90.6667,55.0000,90.9247,55.1176,90.7461,55.2081,2.1506
33,91.0000,55.0000,91.2340,54.6885,91.0713,55.0169,5.2391
34,91.3333,55.0000,91.0491,54.9922,91.2402,54.9857,2.5862
35,91.6667,55.0000,91.8430,55.2846,91.6522,55.1633,3.8391
36,92.0000,55.0000,91.9732,55.4820,91.9618,55.3356,1.1313
37,92.3333,55.0000,92.3514,55.0183,92.3328,55.1871,1.5192
38,92.6667,55.0000,92.4888,55.0169,92.5662,55.1116,0.8107
39,93.0000,55.0000,93.3137,55.3357,93.1248,55.2166,3.8134
40,93.3333,55.0000,92.9756,54.9513,93.1919,55.0868,3.5400
41,93.6667,55.0000,93.8190,54.7495,93.6843,54.9104,5.7228
