Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,10.0000,56.8970,10.0115,56.6234,9.9322,56.7227,19.2731
1,10.1500,56.9061,9.8894,56.5021,9.9557,56.6905,10.8240
2,10.3000,56.9152,10.2938,57.0941,10.2562,56.9361,10.9869
3,10.4500,56.9243,10.9787,56.9945,10.9478,57.0337,8.7062
4,10.6000,56.9335,10.6223,57.2211,10.7653,57.0521,42.3622
5,10.7500,56.9427,10.6818,57.1852,10.7858,57.2995,8.0594
6,10.9000,56.9520,11.1521,57.0662,11.0394,56.9526,19.4140
7,11.0500,56.9613,11.3444,56.7399,11.2097,56.6768,14.1444
8,11.2000,56.9706,11.0327,56.8225,11.2561,56.9890,35.3457
9,11.3500,56.9800,11.8568,56.8846,11.8011,56.9607,8.5500
10,11.5000,56.9895,11.5021,57.1290,11.5683,57.1138,10.4250
11,11.6500,56.9989,11.8698,56.7180,11.8246,56.7081,10.2249
12,11.8000,57.0085,11.8887,56.7598,12.0256,56.9610,26.7680
13,11.9500,57.0180,11.7248,56.7800,11.7785,56.7992,7.2993
14,12.1000,57.0276,12.1182,56.7425,12.0676,56.7511,2.7446
15,12.2500,57.0373,12.3957,57.2934,12.3899,57.1073,25.5942
16,12.4000,57.0469,12.3797,57.2080,12.2546,57.0875,27.6136
17,12.5500,57.0567,12.6733,56.7410,12.5719,56.8891,22.0976
18,12.7000,57.0665,13.1631,57.6207,12.8261,57.0919,87.9510
19,12.8500,57.0763,12.7027,57.2636,12.8734,57.3065,23.0350
20,13.0000,57.0861,12.6012,56.9503,12.7546,57.1186,13.3816
21,13.1500,57.0961,13.0118,56.7701,13.0494,56.9182,9.7812
22,13.3000,57.1060,13.2920,57.0091,13.2055,56.9151,4.3426
23,13.4500,57.1160,13.4298,57.2508,13.4998,57.1731,27.4748
24,13.6000,57.1260,13.5612,57.2168,13.5677,57.2056,0.2909
25,13.7500,57.1361,13.7633,57.1130,13.8221,57.0778,24.9787
26,13.9000,57.1463,13.4690,56.8737,13.6246,57.0397,14.0423
27,14.0500,57.1564,14.4675,57.4727,14.2399,57.2402,28.8220
28,14.2000,57.1667,14.0171,57.5396,13.9334,57.2498,41.0148
29,14.3500,57.1769,14.2864,56.7244,14.3175,57.0170,26.4882
30,14.5000,57.1873,14.2028,57.0599,14.4232,57.3233,44.2378
31,14.6500,57.1976,14.6071,57.8015,14.4540,57.4720,32.6353
32,14.8000,57.2080,15.1854,57.3763,15.0156,57.3009,16.9144
33,14.9500,57.2185,15.1939,57.1624,15.0611,56.9847,27.7509
34,15.1000,57.2290,14.8409,57.1393,15.0392,57.1948,28.4896
35,15.2500,57.2395,15.4770,57.6857,15.2637,57.3456,36.7187
36,15.4000,57.2501,15.4812,57.7435,15.4265,57.5246,15.9747
37,15.5500,57.2608,15.5095,57.2653,15.4914,57.3302,6.8017
38,15.7000,57.2714,15.5394,57.2931,15.6001,57.2863,8.2006
39,15.8500,57.2822,16.1550,57.6097,15.9386,57.4815,37.9109
40,16.0000,57.2930,15.5860,57.2515,15.7440,57.2981,20.0347
41,16.1500,57.3038,16.1164,57.0819,15.9842,57.1815,41.3347
42,16.3000,57.3147,16.4888,57.4207,16.4562,57.3631,14.8926
43,16.4500,57.3256,16.4232,57.2265,16.4180,57.2304,6.5151
44,16.6000,57.3366,16.7321,57.2644,16.4877,57.0717,64.7163
45,16.7500,57.3476,17.1146,57.3782,16.9885,57.3211,14.5009
46,16.9000,57.3587,16.7182,57.3825,16.7928,57.3435,7.2278
47,17.0500,57.3698,17.3408,57.0417,17.2895,57.1324,10.3321
48,17.2000,57.3810,17.3248,57.1383,17.4061,57.2597,9.2490
49,17.3500,57.3922,17.2066,57.4743,17.3286,57.4034,21.6773
50,17.5000,57.4035,17.3140,57.2182,17.3171,57.3054,13.9844
51,17.6500,57.4148,17.6411,57.0225,17.6672,57.1296,10.8308
52,17.8000,57.4262,17.4040,57.8154,17.2615,57.4273,89.9133
53,17.9500,57.4376,18.0380,57.5678,17.8182,57.4993,28.5951
54,18.1000,57.4490,18.2101,57.4175,18.1522,57.3742,7.1698
55,18.2500,57.4606,18.2243,57.4598,18.4203,57.7924,70.4235
56,18.4000,57.4721,18.1790,57.7169,18.2474,57.6420,18.2949
57,18.5500,57.4838,18.6322,57.6141,18.5090,57.4644,16.0640
58,18.7000,57.4954,18.3732,56.9925,18.5358,57.3190,33.7483
59,18.8500,57.5072,18.9835,57.3712,18.8614,57.1834,23.4268
60,19.0000,57.5189,18.9562,57.2545,18.9688,57.2473,0.5228
61,19.1500,57.5308,19.1957,57.5377,19.2100,57.4268,20.3605
