Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,10.0000,56.8970,10.0115,56.6234,9.9322,56.7227,2.1415
1,10.1500,56.9061,9.8894,56.5021,9.9541,56.6923,1.2048
2,10.3000,56.9152,10.2938,57.0941,10.2306,56.9122,1.5666
3,10.4500,56.9243,10.9787,56.9945,10.8606,57.0295,2.1053
4,10.6000,56.9335,10.6223,57.2211,10.8459,57.0707,5.4421
5,10.7500,56.9427,10.6818,57.1852,10.8709,57.2690,1.6013
6,10.9000,56.9520,11.1521,57.0662,11.0534,57.0587,3.3594
7,11.0500,56.9613,11.3444,56.7399,11.2141,56.7974,3.0378
8,11.2000,56.9706,11.0327,56.8225,11.2903,56.9396,4.0986
9,11.3500,56.9800,11.8568,56.8846,11.7046,56.9449,1.7656
10,11.5000,56.9895,11.5021,57.1290,11.6466,57.0616,1.8406
11,11.6500,56.9989,11.8698,56.7180,11.8233,56.7947,1.8695
12,11.8000,57.0085,11.8887,56.7598,12.0081,56.9105,3.2086
13,11.9500,57.0180,11.7248,56.7800,11.8790,56.8116,1.6846
14,12.1000,57.0276,12.1182,56.7425,12.0491,56.7530,0.2349
15,12.2500,57.0373,12.3957,57.2934,12.3153,56.9937,4.7668
16,12.4000,57.0469,12.3797,57.2080,12.2953,57.0454,3.2069
17,12.5500,57.0567,12.6733,56.7410,12.5203,56.9299,2.7887
18,12.7000,57.0665,13.1631,57.6207,12.7591,57.0462,10.3450
19,12.8500,57.0763,12.7027,57.2636,12.8688,57.2271,3.1440
20,13.0000,57.0861,12.6012,56.9503,12.8252,57.1503,1.9564
21,13.1500,57.0961,13.0118,56.7701,13.0154,56.9962,1.6857
22,13.3000,57.1060,13.2920,57.0091,13.1715,56.9456,0.5853
23,13.4500,57.1160,13.4298,57.2508,13.4255,57.1027,3.9982
24,13.6000,57.1260,13.5612,57.2168,13.5529,57.1674,0.1135
25,13.7500,57.1361,13.7633,57.1130,13.7733,57.1055,3.0003
26,13.9000,57.1463,13.4690,56.8737,13.7099,57.0629,2.1562
27,14.0500,57.1564,14.4675,57.4727,14.1141,57.1876,4.6505
28,14.2000,57.1667,14.0171,57.5396,14.0239,57.2263,5.0441
29,14.3500,57.1769,14.2864,56.7244,14.2693,57.0855,3.4348
30,14.5000,57.1873,14.2028,57.0599,14.4090,57.2547,5.3154
31,14.6500,57.1976,14.6071,57.8015,14.4814,57.3989,4.1077
32,14.8000,57.2080,15.1854,57.3763,14.8795,57.3359,3.2347
33,14.9500,57.2185,15.1939,57.1624,15.0304,57.1103,4.3738
34,15.1000,57.2290,14.8409,57.1393,15.0842,57.1794,3.1869
35,15.2500,57.2395,15.4770,57.6857,15.2578,57.2894,4.3507
36,15.4000,57.2501,15.4812,57.7435,15.4189,57.4447,2.3320
37,15.5500,57.2608,15.5095,57.2653,15.5153,57.3668,0.8779
38,15.7000,57.2714,15.5394,57.2931,15.6217,57.3224,1.0524
39,15.8500,57.2822,16.1550,57.6097,15.8795,57.4376,4.6481
40,16.0000,57.2930,15.5860,57.2515,15.8342,57.3446,3.0070
41,16.1500,57.3038,16.1164,57.0819,15.9878,57.2442,4.8552
42,16.3000,57.3147,16.4888,57.4207,16.3384,57.3325,2.7318
43,16.4500,57.3256,16.4232,57.2265,16.4264,57.2631,0.7143
44,16.6000,57.3366,16.7321,57.2644,16.5167,57.1390,7.6588
45,16.7500,57.3476,17.1146,57.3782,16.8759,57.2653,2.8113
46,16.9000,57.3587,16.7182,57.3825,16.8643,57.3087,1.1164
47,17.0500,57.3698,17.3408,57.0417,17.1982,57.1899,1.9016
48,17.2000,57.3810,17.3248,57.1383,17.3772,57.2407,1.0367
49,17.3500,57.3922,17.2066,57.4743,17.4013,57.3428,3.0261
50,17.5000,57.4035,17.3140,57.2182,17.4110,57.3101,2.1070
51,17.6500,57.4148,17.6411,57.0225,17.6362,57.1923,1.5128
