Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,100.0000,75.0000,100.1421,74.7539,100.1366,74.7750,15.6501
1,100.1491,75.1491,100.0540,74.8101,100.0746,74.7826,10.7434
2,100.2981,75.2981,100.2351,75.3836,100.1921,75.3503,11.1843
3,100.4472,75.4472,100.7143,75.5651,100.6791,75.5293,48.3536
4,100.5963,75.5962,100.4540,75.7640,100.5001,75.7912,32.5554
5,100.7453,75.7451,100.6758,76.2432,100.7308,76.0855,24.3760
6,100.8943,75.8940,101.0308,75.8361,100.9639,76.0284,19.4815
7,101.0433,76.0429,101.3117,75.6280,101.2310,75.8549,22.3735
8,101.1923,76.1916,101.0181,76.2354,101.1467,76.0325,32.2320
9,101.3413,76.3403,101.6505,76.2790,101.6124,76.1905,26.6899
10,101.4903,76.4889,101.5040,76.7072,101.5739,76.5695,11.9525
11,101.6392,76.6374,101.7681,76.1449,101.7179,76.3590,22.4592
12,101.7881,76.7857,101.8354,76.7288,101.9011,76.5318,23.7033
13,101.9369,76.9340,101.8486,76.6088,101.8581,76.6560,16.4046
14,102.0858,77.0821,102.1292,76.6931,102.0789,76.7428,4.3924
15,102.2345,77.2300,102.2003,77.4276,102.2019,77.2551,34.1355
16,102.3833,77.3778,102.4784,77.4860,102.4215,77.5373,27.0167
17,102.5320,77.5254,102.7358,77.2311,102.7039,77.3771,15.6632
18,102.6807,77.6728,102.9746,77.8857,102.8678,77.9544,68.8134
19,102.8293,77.8200,102.6083,78.1532,102.7335,78.0526,32.4169
20,102.9778,77.9670,102.7137,77.9246,102.7618,77.9706,12.3206
21,103.1263,78.1138,103.0412,77.7767,103.0122,77.8632,5.6884
22,103.2748,78.2604,103.3133,78.0251,103.2441,78.0808,13.5452
23,103.4232,78.4067,103.2688,78.5340,103.3060,78.3941,23.8984
24,103.5715,78.5528,103.5462,78.6754,103.5308,78.6237,1.6510
25,103.7197,78.6987,103.5974,78.5578,103.6041,78.6275,21.4230
26,103.8679,78.8442,103.6429,78.6611,103.6755,78.6646,17.2171
27,104.0161,78.9895,104.2467,79.1969,104.1413,79.1137,31.1500
28,104.1641,79.1345,104.0739,79.3354,104.0656,79.4394,38.7359
29,104.3121,79.2792,104.3442,78.9360,104.3413,79.0917,29.5694
30,104.4600,79.4236,104.2454,79.6284,104.3717,79.3299,47.0105
31,104.6078,79.5677,104.5533,80.0671,104.5119,79.9593,29.2227
32,104.7555,79.7114,104.9711,79.8001,104.8987,79.9256,19.5784
33,104.9032,79.8548,105.0907,79.4876,105.0184,79.8253,41.4957
34,105.0507,79.9979,104.7833,79.9674,104.8876,79.8992,16.4601
35,105.1982,80.1405,105.3304,80.4038,105.2257,80.3898,31.0553
36,105.3456,80.2828,105.2920,80.7431,105.3079,80.6845,10.4788
37,105.4928,80.4248,105.5233,80.4727,105.5097,80.5959,10.1715
38,105.6400,80.5663,105.4637,80.5572,105.5042,80.6096,5.1127
39,105.7871,80.7074,106.0894,81.1007,105.9964,81.0047,20.4548
40,105.9340,80.8481,105.5977,80.7799,105.7097,80.9014,23.8544
41,106.0809,80.9884,106.2587,80.8098,106.1580,80.9284,49.8369
42,106.2277,81.1283,106.2553,81.2288,106.2818,81.1340,18.6542
43,106.3743,81.2677,106.4179,81.1121,106.4029,81.2091,7.3466
44,106.5208,81.4066,106.7890,81.0721,106.6639,81.3580,79.1825
45,106.6672,81.5451,106.9338,81.5911,106.9172,81.5451,2.9780
46,106.8135,81.6831,106.6956,81.6789,106.7652,81.7020,11.5688
47,106.9596,81.8207,107.1459,81.3932,107.0916,81.5469,16.3236
48,107.1057,81.9577,107.2239,81.8036,107.2501,81.7010,3.9568
49,107.2516,82.0942,107.0392,82.1317,107.1192,82.0139,18.2105
50,107.3973,82.2302,107.3994,82.0768,107.3583,82.1299,24.1040
51,107.5430,82.3657,107.5147,81.8678,107.5038,82.0102,7.2188
52,107.6885,82.5007,107.5642,82.7080,107.5093,82.7201,139.9600
53,107.8338,82.6351,107.9837,82.7759,107.9005,82.8459,14.1577
54,107.9791,82.7690,108.0020,82.6137,107.9989,82.7714,11.1956
55,108.1241,82.9022,108.1285,83.4428,108.2326,82.9817,102.0173
56,108.2691,83.0350,108.0336,83.2286,108.1003,83.2086,9.3816
57,108.4138,83.1671,108.4262,83.1010,108.3551,83.2749,14.8776
58,108.5585,83.2986,108.4537,82.9649,108.4820,83.0468,36.1589
59,108.7029,83.4296,108.7258,82.9288,108.6525,83.1571,38.1632
60,108.8472,83.5599,108.8527,83.1897,108.8213,83.2716,4.7941
61,108.9914,83.6896,108.8995,83.5684,108.9103,83.5206,17.9992
62,109.1354,83.8187,109.4741,84.1503,109.3794,84.0134,26.0435
63,109.2792,83.9471,109.4603,84.6861,109.4859,84.4920,10.9598
64,109.4228,84.0749,109.6018,84.0968,109.6277,84.2156,31.3401
65,109.5663,84.2021,109.7131,84.4406,109.7115,84.4834,94.5259
66,109.7096,84.3285,109.4260,84.2975,109.5694,84.2275,55.1197
