Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,100.0000,75.0000,100.1421,74.7539,100.1366,74.7750,1.7390
1,100.1491,75.1491,100.0540,74.8101,100.0774,74.7819,1.1991
2,100.2981,75.2981,100.2351,75.3836,100.1811,75.3110,1.6464
3,100.4472,75.4472,100.7143,75.5651,100.6211,75.5277,6.3108
4,100.5963,75.5962,100.4540,75.7640,100.5427,75.7912,3.9328
5,100.7453,75.7451,100.6758,76.2432,100.7237,76.0797,2.6854
6,100.8943,75.8940,101.0308,75.8361,100.9397,76.1025,2.6771
7,101.0433,76.0429,101.3117,75.6280,101.1974,75.9892,3.8293
8,101.1923,76.1916,101.0181,76.2354,101.1895,76.0909,3.7047
9,101.3413,76.3403,101.6505,76.2790,101.5601,76.2104,3.3404
10,101.4903,76.4889,101.5040,76.7072,101.6032,76.5138,1.6048
11,101.6392,76.6374,101.7681,76.1449,101.7330,76.4176,2.7550
12,101.7881,76.7857,101.8354,76.7288,101.9012,76.5394,2.5513
13,101.9369,76.9340,101.8486,76.6088,101.9006,76.6496,2.1360
14,102.0858,77.0821,102.1292,76.6931,102.0739,76.7376,0.4670
15,102.2345,77.2300,102.2003,77.4276,102.2016,77.1454,4.7067
16,102.3833,77.3778,102.4784,77.4860,102.4013,77.4468,3.5348
17,102.5320,77.5254,102.7358,77.2311,102.6651,77.4150,1.9892
18,102.6807,77.6728,102.9746,77.8857,102.8535,77.8606,8.2721
19,102.8293,77.8200,102.6083,78.1532,102.7977,78.0297,4.2080
20,102.9778,77.9670,102.7137,77.9246,102.8107,78.0308,1.9591
21,103.1263,78.1138,103.0412,77.7767,102.9983,77.9654,1.3138
22,103.2748,78.2604,103.3133,78.0251,103.2119,78.1075,1.5518
23,103.4232,78.4067,103.2688,78.5340,103.3098,78.3553,2.7304
24,103.5715,78.5528,103.5462,78.6754,103.5088,78.5783,0.3892
25,103.7197,78.6987,103.5974,78.5578,103.6104,78.6449,2.3765
26,103.8679,78.8442,103.6429,78.6611,103.6924,78.7023,2.0484
27,104.0161,78.9895,104.2467,79.1969,104.0642,79.0415,4.7153
28,104.1641,79.1345,104.0739,79.3354,104.0914,79.3514,4.7679
29,104.3121,79.2792,104.3442,78.9360,104.3181,79.1965,4.0007
30,104.4600,79.4236,104.2454,79.6284,104.3921,79.3553,5.1598
31,104.6078,79.5677,104.5533,80.0671,104.5208,79.8275,4.3969
32,104.7555,79.7114,104.9711,79.8001,104.8400,79.9173,2.4865
33,104.9032,79.8548,105.0907,79.4876,105.0045,79.9006,4.9575
34,105.0507,79.9979,104.7833,79.9674,104.9565,79.9614,2.7136
35,105.1982,80.1405,105.3304,80.4038,105.2036,80.3164,3.7518
36,105.3456,80.2828,105.2920,80.7431,105.3163,80.6038,1.5270
37,105.4928,80.4248,105.5233,80.4727,105.4990,80.6320,1.1526
38,105.6400,80.5663,105.4637,80.5572,105.5400,80.6738,1.0053
39,105.7871,80.7074,106.0894,81.1007,105.9197,80.9636,3.1742
40,105.9340,80.8481,105.5977,80.7799,105.7948,80.9605,3.8406
41,106.0809,80.9884,106.2587,80.8098,106.1120,80.9976,5.9955
42,106.2277,81.1283,106.2553,81.2288,106.2699,81.1495,2.0096
43,106.3743,81.2677,106.4179,81.1121,106.4064,81.2362,0.8583
44,106.5208,81.4066,106.7890,81.0721,106.6367,81.3670,8.8986
45,106.6672,81.5451,106.9338,81.5911,106.8809,81.5317,0.5205
46,106.8135,81.6831,106.6956,81.6789,106.8348,81.6863,1.9773
47,106.9596,81.8207,107.1459,81.3932,107.0740,81.6293,2.2146
48,107.1057,81.9577,107.2239,81.8036,107.2422,81.7342,0.4208
49,107.2516,82.0942,107.0392,82.1317,107.1933,81.9684,2.9197
50,107.3973,82.2302,107.3994,82.0768,107.3639,82.1064,2.6165
51,107.5430,82.3657,107.5147,81.8678,107.5055,82.0746,1.0568
52,107.6885,82.5007,107.5642,82.7080,107.5473,82.5635,17.2263
53,107.8338,82.6351,107.9837,82.7759,107.8481,82.7629,2.0849
54,107.9791,82.7690,108.0020,82.6137,107.9896,82.7955,1.1691
55,108.1241,82.9022,108.1285,83.4428,108.2053,82.9708,11.4398
56,108.2691,83.0350,108.0336,83.2286,108.1657,83.1733,1.7115
57,108.4138,83.1671,108.4262,83.1010,108.3516,83.2798,1.5841
58,108.5585,83.2986,108.4537,82.9649,108.4840,83.1685,4.9398
