Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,100.0000,75.0000,100.2691,74.5883,100.1996,74.7134,17.0108
1,99.8120,75.1891,99.6374,75.2300,99.7182,75.0816,26.3946
2,99.6240,75.3782,99.9365,75.3174,99.9091,75.2875,28.6500
3,99.4360,75.5673,99.4494,75.7826,99.4994,75.7219,5.2282
4,99.2479,75.7564,99.3788,75.2729,99.3182,75.4830,26.0335
5,99.0599,75.9455,99.1082,75.8826,99.1715,75.7276,23.3007
6,98.8719,76.1346,98.7782,75.8146,98.7748,75.8781,14.2395
7,98.6839,76.3237,98.7252,75.9419,98.6781,75.9971,4.1666
8,98.4959,76.5128,98.4710,76.7104,98.4641,76.5973,29.1202
9,98.3079,76.7020,98.3959,76.8140,98.3481,76.8934,26.4480
10,98.1198,76.8911,98.3164,76.6004,98.3002,76.7210,15.3768
11,97.9318,77.0802,98.2322,77.3126,98.1202,77.3945,67.0301
12,97.7438,77.2693,97.5319,77.5869,97.6296,77.5182,30.2479
13,97.5558,77.4584,97.2859,77.4089,97.3276,77.4453,11.3356
14,97.3678,77.6475,97.2790,77.3137,97.2614,77.3660,4.1644
15,97.1798,77.8366,97.2125,77.6155,97.1558,77.6510,12.8089
16,96.9917,78.0257,96.8516,78.1466,96.8750,78.0388,23.5085
17,96.8037,78.2148,96.7782,78.3335,96.7702,78.3054,0.9559
18,96.6157,78.4039,96.5070,78.2686,96.5020,78.3194,21.6790
19,96.4277,78.5930,96.1869,78.4049,96.2264,78.4034,16.6342
20,96.2397,78.7821,96.4845,78.9971,96.3934,78.9340,26.6320
21,96.0517,78.9712,95.9517,79.1891,95.9358,79.2840,38.8760
22,95.8636,79.1603,95.8846,78.8131,95.8994,78.9279,25.4393
23,95.6756,79.3494,95.4613,79.5129,95.5802,79.2874,47.9715
24,95.4876,79.5385,95.4357,80.0431,95.3894,79.9795,24.7299
25,95.2996,79.7276,95.5304,79.8236,95.4673,79.9271,18.2137
26,95.1116,79.9168,95.2956,79.5950,95.2282,79.8253,39.3025
27,94.9236,80.1059,94.6652,80.0594,94.7430,79.9934,15.1177
28,94.7355,80.2950,94.8750,80.5793,94.7768,80.5587,30.2056
29,94.5475,80.4841,94.5159,80.9350,94.5132,80.9007,10.6622
30,94.3595,80.6732,94.3795,80.7195,94.3787,80.8214,9.1248
31,94.1715,80.8623,94.0022,80.8504,94.0276,80.8818,4.1995
32,93.9835,81.0514,94.2797,81.4419,94.2147,81.3729,17.5791
33,93.7955,81.2405,93.4562,81.1688,93.5409,81.2667,19.0217
34,93.6075,81.4296,93.7445,81.2671,93.6912,81.3489,48.4153
35,93.4194,81.6187,93.4741,81.7092,93.4814,81.6316,18.4266
36,93.2314,81.8078,93.2591,81.6703,93.2546,81.7358,7.2136
37,93.0434,81.9969,93.2694,81.7330,93.1817,81.9069,79.1582
38,92.8554,82.1860,93.1312,82.2339,93.1150,82.1867,2.5861
39,92.6674,82.3751,92.5408,82.3753,92.5939,82.3910,9.2364
40,92.4794,82.5642,92.6743,82.1605,92.6276,82.2523,12.7635
41,92.2913,82.7533,92.4083,82.5896,92.4384,82.5090,5.4520
42,92.1033,82.9424,91.9120,82.9712,91.9558,82.8830,15.7814
43,91.9153,83.1316,91.8787,82.9900,91.8695,83.0354,23.7288
44,91.7273,83.3207,91.6987,82.8459,91.6905,82.9305,5.3308
45,91.5393,83.5098,91.3560,83.7706,91.3274,83.7398,134.8980
46,91.3513,83.6989,91.4821,83.8506,91.4264,83.9053,14.1284
47,91.1632,83.8880,91.1997,83.7537,91.1874,83.8484,9.8063
48,90.9752,84.0771,90.9951,84.4969,91.0912,84.2422,98.7526
49,90.7872,84.2662,90.5646,84.4531,90.6014,84.4582,7.7707
50,90.5992,84.4553,90.6196,84.4281,90.5519,84.5244,15.7934
51,90.4112,84.6444,90.2626,84.2915,90.3231,84.3715,34.6313
52,90.2232,84.8335,90.2549,84.4130,90.1801,84.4987,32.9688
53,90.0351,85.0226,90.0218,84.6871,90.0080,84.7034,3.5454
54,89.8471,85.2117,89.7888,85.1007,89.7727,85.0321,17.7560
55,89.6591,85.4008,89.9855,85.7420,89.9223,85.6375,22.2665
56,89.4711,85.5899,89.6648,86.2996,89.6761,86.1943,7.1547
57,89.2831,85.7790,89.4339,85.7787,89.4796,85.9224,29.5728
58,89.0899,85.9632,89.3296,86.2381,89.2599,86.2086,96.0961
59,88.8917,86.1424,88.6205,86.0292,88.7382,86.0405,52.3305
60,88.6886,86.3164,88.3323,86.3319,88.3876,86.2650,11.0852
61,88.4808,86.4850,88.7174,86.7199,88.6380,86.6583,14.4678
62,88.2683,86.6482,88.2760,86.6718,88.3170,86.6865,7.3202
63,88.0514,86.8057,87.6934,86.9339,87.7858,86.8964,16.6001
64,87.8302,86.9576,88.1756,87.0670,88.1413,87.0154,50.6820
65,87.6049,87.1036,87.6434,87.1804,87.7008,87.1530,9.9593
66,87.3756,87.2436,87.1670,87.2962,87.2071,87.3117,6.1904
67,87.1425,87.3776,87.1362,87.4065,87.1398,87.4414,18.4348
68,86.9057,87.5054,86.8625,87.1356,86.8790,87.2556,7.4359
69,86.6654,87.6270,86.4394,87.6030,86.4969,87.5392,9.8445
70,86.4218,87.7421,86.6034,87.6798,86.5595,87.7013,8.9774
71,86.1751,87.8508,86.0056,87.9637,86.0861,87.9525,24.6734
72,85.9255,87.9529,85.9361,88.0316,85.9473,88.0364,6.0144
73,85.6730,88.0484,85.9398,87.9044,85.8849,88.0391,35.1652
74,85.4180,88.1374,85.3762,87.6008,85.4385,87.7368,16.6340
75,85.1608,88.2201,85.0687,88.5312,85.0935,88.3557,15.5197
76,84.9016,88.2969,84.8187,88.1657,84.8536,88.2286,13.1523
77,84.6406,88.3679,84.5090,88.2252,84.5246,88.2386,4.5822
78,84.3781,88.4334,84.2321,88.3609,84.2296,88.3547,2.1643
79,84.1141,88.4937,84.1190,88.7703,84.0631,88.6681,33.9496
80,83.8490,88.5490,83.9214,88.1582,83.9040,88.3430,19.7675
81,83.5827,88.5995,83.5544,88.8786,83.5858,88.7454,13.8107
82,83.3156,88.6455,83.2174,88.6954,83.2463,88.7126,7.3299
83,83.0476,88.6871,83.0167,88.9041,83.0056,88.9197,16.1628
84,82.7789,88.7245,82.8222,88.7803,82.8334,88.8335,7.0649
85,82.5096,88.7581,82.6156,88.6181,82.6223,88.6890,4.1440
86,82.2397,88.7878,81.9072,89.0523,82.0341,88.9957,53.7689
87,81.9694,88.8140,81.6511,88.8898,81.7262,88.9364,39.2229
88,81.6986,88.8368,81.9180,88.8979,81.8005,88.8919,52.9237
89,81.4275,88.8564,81.4998,88.4470,81.5027,88.6114,27.1069
90,81.1562,88.8728,81.4164,88.9963,81.3933,88.9097,4.8450
91,80.8845,88.8864,80.4739,88.8086,80.5594,88.8736,30.1130
92,80.6127,88.8971,80.5381,88.5902,80.4582,88.7050,48.8092
93,80.3407,88.9052,80.2958,88.5506,80.2586,88.5824,9.1122
94,80.0686,88.9108,80.1215,89.0255,80.0641,88.9204,19.8680
95,79.7963,88.9140,79.5705,89.0749,79.6145,89.0412,4.8225
96,79.5240,88.9149,79.2274,88.8593,79.2131,88.9128,13.8926
97,79.2516,88.9136,79.1846,89.0734,79.1963,89.0580,34.7421
98,78.9791,88.9103,79.0860,89.3653,79.0772,89.3420,42.6508
99,78.7067,88.9050,78.8285,89.1771,78.8082,89.2510,20.4306
100,78.4341,88.8979,78.6048,89.2699,78.5994,89.2180,69.3985
101,78.1616,88.8890,77.8987,88.7648,77.9887,88.9044,22.7296
102,77.8891,88.8784,78.3091,89.1806,78.2217,89.0921,27.3183
103,77.6166,88.8662,77.9077,89.1464,77.8784,89.1197,16.5268
104,77.3441,88.8525,77.0868,88.7911,77.1445,88.8640,22.3983
105,77.0717,88.8374,77.2151,88.5082,77.1645,88.5898,9.2512
106,76.7992,88.8209,76.7060,88.8661,76.6955,88.7768,18.6561
107,76.5268,88.8031,76.5704,88.8772,76.5370,88.8200,26.0513
108,76.2545,88.7841,76.4770,89.1688,76.4620,89.0902,11.2381
109,75.9822,88.7639,75.9755,88.5586,76.0277,88.7013,14.1703
110,75.7099,88.7425,75.5636,88.9096,75.5707,88.8192,46.7755
111,75.4376,88.7202,75.0015,88.4856,75.0428,88.5717,12.1046
112,75.1654,88.6968,74.8512,88.3726,74.9179,88.4651,82.8972
113,74.8933,88.6724,75.1952,88.6771,75.0777,88.5904,25.7415
114,74.6220,88.6453,74.6854,88.5559,74.6825,88.5259,35.8042
115,74.3515,88.6157,74.5057,88.8164,74.5167,88.7682,41.1433
116,74.0820,88.5835,73.9903,88.2710,74.0782,88.4080,27.1033
117,73.8132,88.5490,73.7731,88.6169,73.7304,88.5222,33.3858
118,73.5453,88.5124,73.6873,88.9650,73.6177,88.8447,41.2197
119,73.2781,88.4737,73.2887,88.4773,73.2728,88.5361,20.1690
120,73.0118,88.4330,73.0379,88.3220,73.0460,88.3658,5.8737
121,72.7462,88.3905,72.9469,88.2088,72.9127,88.2268,2.2732
122,72.4814,88.3462,72.6350,88.2105,72.6587,88.2125,5.0139
123,72.2173,88.3003,72.2215,88.0845,72.1958,88.0750,27.9315
124,71.9539,88.2528,72.2834,88.0769,72.1886,88.0284,33.5741
125,71.6912,88.2039,71.5506,88.2791,71.6244,88.2127,40.0861
126,71.4292,88.1536,71.6159,88.0619,71.5681,88.0744,10.0720
127,71.1678,88.1019,70.9623,87.8797,71.0219,87.9163,9.1839
128,70.9071,88.0491,71.0868,87.8192,71.0790,87.8517,25.2447
129,70.6470,87.9950,70.4771,87.4590,70.5004,87.5158,21.7156
130,70.3874,87.9398,70.4307,87.9390,70.4073,87.8244,14.8068
131,70.1285,87.8836,70.0910,88.1204,70.1208,88.0516,11.0801
132,69.8700,87.8264,69.7878,87.7046,69.7999,87.7738,6.0826
133,69.6122,87.7683,69.3123,88.0110,69.3485,87.9427,19.6766
134,69.3548,87.7092,69.6600,88.1954,69.5371,88.0980,31.1930
135,69.0979,87.6494,69.1581,87.0981,69.1571,87.3002,42.3648
136,68.8415,87.5887,68.5809,87.7928,68.6401,87.6778,43.4147
137,68.5856,87.5273,68.8397,87.6780,68.7306,87.6270,32.2857
138,68.3301,87.4652,68.4739,87.1275,68.5144,87.2502,33.7974
139,68.0750,87.4024,68.0629,87.6128,68.0722,87.4998,11.5346
140,67.8204,87.3389,67.8853,87.4191,67.8961,87.4419,11.7645
141,67.5662,87.2749,67.3747,87.3408,67.4446,87.3722,8.9686
142,67.3123,87.2103,67.4707,87.0521,67.4198,87.1032,7.6890
143,67.0588,87.1452,67.1554,86.8988,67.2107,86.9633,23.4611
144,66.8057,87.0796,66.6897,87.6047,66.6858,87.4047,30.6874
145,66.5529,87.0135,66.2381,86.8479,66.2338,86.9258,26.0965
146,66.3004,86.9469,66.0595,86.5719,66.1274,86.7024,53.7539
147,66.0483,86.8799,65.9426,86.9065,65.9342,86.8345,8.4188
148,65.7964,86.8125,65.5467,86.3796,65.6036,86.4803,27.2401
149,65.5449,86.7447,65.8053,87.0579,65.7369,86.9074,27.0688
150,65.2936,86.6765,65.5750,86.8251,65.5141,86.7663,44.4868
151,65.0426,86.6080,65.0892,86.8351,65.0776,86.7892,31.8690
152,64.7919,86.5392,64.9183,86.9703,64.8741,86.8976,12.5059
153,64.5414,86.4701,64.3095,86.8252,64.3166,86.7927,15.5204
154,64.2911,86.4007,64.6939,86.6333,64.5182,86.5841,53.2826
155,64.0411,86.3310,63.7849,86.0439,63.9096,86.1728,41.3156
156,63.7913,86.2610,63.4895,85.7893,63.5930,85.9311,43.8578
157,63.5418,86.1908,63.5039,86.1845,63.4767,86.1046,6.3179
158,63.2924,86.1204,63.2709,86.0304,63.2504,86.0268,7.1776
159,63.0432,86.0497,63.1513,85.8081,63.1108,85.8015,12.9998
160,62.7942,85.9788,62.2244,85.8032,62.2726,85.7585,42.8904
161,62.5455,85.9078,62.7099,86.0559,62.5461,85.9293,42.8930
162,62.2968,85.8365,62.0516,85.6327,62.0798,85.6344,40.7360
163,62.0484,85.7651,62.2945,85.7394,62.2335,85.7077,14.6318
164,61.8001,85.6935,61.6868,85.6653,61.6886,85.6125,17.0763
165,61.5520,85.6218,61.6937,85.6946,61.6568,85.6331,17.6198
166,61.3040,85.5499,61.0850,85.4299,61.1200,85.4397,6.6903
167,61.0562,85.4778,61.0223,85.2875,61.0435,85.3604,23.1575
168,60.8085,85.4057,60.6962,85.6958,60.6538,85.5561,23.4423
169,60.5609,85.3334,60.7588,85.1221,60.6351,85.0978,56.8384
170,60.3135,85.2609,60.0282,85.1469,60.0204,85.0361,35.8039
171,60.0662,85.1884,60.0939,85.0368,60.0259,84.9741,13.6665
172,59.8209,85.1093,59.8655,85.1934,59.8371,85.1074,4.1376
173,59.5780,85.0238,59.9978,84.9276,59.9269,84.9488,10.4704
174,59.3375,84.9318,59.3844,84.8934,59.4418,84.8912,4.3079
175,59.0996,84.8335,59.0355,84.7412,59.0586,84.7827,16.6284
176,58.8645,84.7289,58.9035,84.4042,58.9543,84.5468,30.0354
177,58.6323,84.6180,58.3799,84.4740,58.4797,84.4809,35.4492
178,58.4033,84.5011,58.5186,84.1379,58.4296,84.1696,29.0364
179,58.1775,84.3782,58.1794,84.4249,58.1994,84.3896,17.1837
180,57.9550,84.2493,58.0872,84.2382,58.0365,84.2683,43.3672
181,57.7362,84.1145,57.9420,83.9230,57.8689,83.8574,70.0240
182,57.5211,83.9740,57.7148,84.0926,57.6851,83.9799,8.8714
183,57.3099,83.8278,56.8638,83.4692,57.0235,83.6281,33.2376
184,57.1026,83.6761,57.3539,83.5633,57.3027,83.5631,36.2545
185,56.8996,83.5190,56.5637,83.6366,56.6224,83.5547,19.2404
186,56.7008,83.3565,56.4367,83.6706,56.4363,83.6404,4.2596
187,56.5065,83.1888,56.5497,82.9929,56.4839,83.0878,16.4247
188,56.3167,83.0160,56.4231,82.7602,56.4358,82.8529,11.3291
189,56.1317,82.8383,55.9690,82.9069,56.0314,82.8592,19.5150
190,55.9515,82.6557,56.0360,82.3612,56.0394,82.5055,20.9797
191,55.7763,82.4684,56.1455,82.3572,56.0907,82.3517,4.0536
192,55.6061,82.2766,55.5441,82.3510,55.5881,82.2960,8.0969
193,55.4412,82.0803,55.4803,82.1875,55.4945,82.2258,7.8995
194,55.2815,81.8797,55.2168,81.8050,55.2303,81.8820,5.9696
195,55.1273,81.6749,55.2599,81.8095,55.2580,81.8478,13.8408
196,54.9787,81.4662,54.7565,81.7351,54.8650,81.8113,22.1681
197,54.8356,81.2536,54.8380,81.2767,54.8093,81.3140,25.7495
198,54.6984,81.0372,54.1593,80.9084,54.2706,80.9851,17.4720
199,54.5669,80.8174,54.1308,80.8084,54.1312,80.8061,3.6900
200,54.4414,80.5941,54.5934,80.7628,54.4338,80.6975,36.4810
201,54.3218,80.3676,54.3636,80.1091,54.3374,80.1984,10.0678
202,54.2084,80.1380,54.1905,80.1308,54.2728,80.2112,38.5647
