Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,100.0000,75.0000,100.2691,74.5883,100.1996,74.7134,1.8903
1,99.8120,75.1891,99.6374,75.2300,99.7396,75.0490,3.4197
2,99.6240,75.3782,99.9365,75.3174,99.8603,75.2830,4.0180
3,99.4360,75.5673,99.4494,75.7826,99.5329,75.6934,0.9049
4,99.2479,75.7564,99.3788,75.2729,99.3259,75.5841,3.7144
5,99.0599,75.9455,99.1082,75.8826,99.1616,75.7559,2.5606
6,98.8719,76.1346,98.7782,75.8146,98.8201,75.8984,1.8925
7,98.6839,76.3237,98.7252,75.9419,98.6606,76.0202,0.5091
8,98.4959,76.5128,98.4710,76.7104,98.4567,76.4777,4.0499
9,98.3079,76.7020,98.3959,76.8140,98.3208,76.8166,3.2593
10,98.1198,76.8911,98.3164,76.6004,98.2547,76.8110,2.4163
11,97.9318,77.0802,98.2322,77.3126,98.1097,77.3005,7.8711
12,97.7438,77.2693,97.5319,77.5869,97.7105,77.5188,4.2114
13,97.5558,77.4584,97.2859,77.4089,97.3802,77.5463,2.1785
14,97.3678,77.6475,97.2790,77.3137,97.2360,77.5020,1.5011
15,97.1798,77.8366,97.2125,77.6155,97.1162,77.6775,1.4963
16,96.9917,78.0257,96.8516,78.1466,96.8811,77.9803,2.7854
17,96.8037,78.2148,96.7782,78.3335,96.7450,78.2507,0.3319
18,96.6157,78.4039,96.5070,78.2686,96.5125,78.3509,2.4504
19,96.4277,78.5930,96.1869,78.4049,96.2508,78.4495,2.0285
20,96.2397,78.7821,96.4845,78.9971,96.2981,78.8375,4.5899
21,96.0517,78.9712,95.9517,79.1891,95.9801,79.1862,4.9249
22,95.8636,79.1603,95.8846,78.8131,95.8739,79.0722,3.9236
23,95.6756,79.3494,95.4613,79.5129,95.6111,79.2976,5.2728
24,95.4876,79.5385,95.4357,80.0431,95.4023,79.8102,4.2461
25,95.2996,79.7276,95.5304,79.8236,95.3949,79.9371,2.4629
26,95.1116,79.9168,95.2956,79.5950,95.2221,79.9405,4.9990
27,94.9236,80.1059,94.6652,80.0594,94.8357,80.0592,2.8249
28,94.7355,80.2950,94.8750,80.5793,94.7476,80.4556,3.8834
29,94.5475,80.4841,94.5159,80.9350,94.5269,80.7980,1.6526
30,94.3595,80.6732,94.3795,80.7195,94.3702,80.8755,1.0919
31,94.1715,80.8623,94.0022,80.8504,94.0763,80.9626,1.0397
32,93.9835,81.0514,94.2797,81.4419,94.1203,81.3068,3.1393
33,93.7955,81.2405,93.4562,81.1688,93.6573,81.3466,3.9016
34,93.6075,81.4296,93.7445,81.2671,93.6336,81.4308,5.9402
35,93.4194,81.6187,93.4741,81.7092,93.4678,81.6358,1.9895
36,93.2314,81.8078,93.2591,81.6703,93.2651,81.7654,0.8540
37,93.0434,81.9969,93.2694,81.7330,93.1541,81.9231,8.8884
38,92.8554,82.1860,93.1312,82.2339,93.0719,82.1540,0.5414
39,92.6674,82.3751,92.5408,82.3753,92.6882,82.3624,2.0738
40,92.4794,82.5642,92.6743,82.1605,92.6005,82.3555,1.9428
41,92.2913,82.7533,92.4083,82.5896,92.4329,82.5274,0.5382
42,92.1033,82.9424,91.9120,82.9712,92.0512,82.8113,3.0477
43,91.9153,83.1316,91.8787,82.9900,91.8770,83.0024,2.5876
44,91.7273,83.3207,91.6987,82.8459,91.6910,83.0171,0.9396
45,91.5393,83.5098,91.3560,83.7706,91.3824,83.5374,17.2324
46,91.3513,83.6989,91.4821,83.8506,91.3550,83.8024,2.3104
47,91.1632,83.8880,91.1997,83.7537,91.1749,83.8884,1.0684
48,90.9752,84.0771,90.9951,84.4969,91.0582,84.1831,11.2398
49,90.7872,84.2662,90.5646,84.4531,90.6868,84.4175,1.7389
50,90.5992,84.4553,90.6196,84.4281,90.5424,84.5527,1.7369
51,90.4112,84.6444,90.2626,84.2915,90.3324,84.5205,4.8835
52,90.2232,84.8335,90.2549,84.4130,90.1695,84.5979,3.9762
53,90.0351,85.0226,90.0218,84.6871,89.9985,84.7421,0.4006
54,89.8471,85.2117,89.7888,85.1007,89.7841,84.9882,2.0661
55,89.6591,85.4008,89.9855,85.7420,89.8176,85.4419,5.3980
56,89.4711,85.5899,89.6648,86.2996,89.6544,85.9425,3.4153
57,89.2831,85.7790,89.4339,85.7787,89.4792,85.9732,2.9509
58,89.0899,85.9632,89.3296,86.2381,89.2759,86.2027,10.6889
59,88.8917,86.1424,88.6205,86.0292,88.8587,86.1834,8.3124
60,88.6886,86.3164,88.3323,86.3319,88.4916,86.3294,2.3401
61,88.4808,86.4850,88.7174,86.7199,88.5356,86.6104,2.7401
62,88.2683,86.6482,88.2760,86.6718,88.3174,86.7236,0.7793
63,88.0514,86.8057,87.6934,86.9339,87.8976,86.9075,3.2153
64,87.8302,86.9576,88.1756,87.0670,88.0078,87.0459,7.5580
65,87.6049,87.1036,87.6434,87.1804,87.7278,87.1869,1.0885
66,87.3756,87.2436,87.1670,87.2962,87.3182,87.3386,2.0530
67,87.1425,87.3776,87.1362,87.4065,87.1434,87.4744,1.9993
68,86.9057,87.5054,86.8625,87.1356,86.9006,87.4158,2.0394
69,86.6654,87.6270,86.4394,87.6030,86.5642,87.5779,1.4610
70,86.4218,87.7421,86.6034,87.6798,86.4982,87.7196,1.3843
71,86.1751,87.8508,86.0056,87.9637,86.1471,87.9243,3.1616
72,85.9255,87.9529,85.9361,88.0316,85.9487,88.0494,0.6427
73,85.6730,88.0484,85.9398,87.9044,85.8363,88.1058,4.3857
74,85.4180,88.1374,85.3762,87.6008,85.4970,87.9528,4.2615
75,85.1608,88.2201,85.0687,88.5312,85.1603,88.2798,2.1475
76,84.9016,88.2969,84.8187,88.1657,84.8876,88.2920,1.6885
77,84.6406,88.3679,84.5090,88.2252,84.5728,88.3213,1.0194
78,84.3781,88.4334,84.2321,88.3609,84.2704,88.4028,0.4525
79,84.1141,88.4937,84.1190,88.7703,84.0560,88.6161,3.8720
80,83.8490,88.5490,83.9214,88.1582,83.8755,88.4919,3.3155
81,83.5827,88.5995,83.5544,88.8786,83.5999,88.7092,1.4559
82,83.3156,88.6455,83.2174,88.6954,83.2853,88.7498,1.0250
83,83.0476,88.6871,83.0167,88.9041,83.0207,88.8995,1.8197
84,82.7789,88.7245,82.8222,88.7803,82.8155,88.8986,1.0192
85,82.5096,88.7581,82.6156,88.6181,82.6041,88.8216,1.2941
86,82.2397,88.7878,81.9072,89.0523,82.1393,88.9821,7.0560
87,81.9694,88.8140,81.6511,88.8898,81.7884,88.9883,4.7938
88,81.6986,88.8368,81.9180,88.8979,81.7157,88.9698,6.9327
89,81.4275,88.8564,81.4998,88.4470,81.4815,88.7959,4.5710
90,81.1562,88.8728,81.4164,88.9963,81.3360,88.9147,0.6512
91,80.8845,88.8864,80.4739,88.8086,80.7279,88.9157,6.4087
92,80.6127,88.8971,80.5381,88.5902,80.4763,88.8175,5.8070
93,80.3407,88.9052,80.2958,88.5506,80.2438,88.7100,1.7218
94,80.0686,88.9108,80.1215,89.0255,80.0318,88.8673,2.3235
95,79.7963,88.9140,79.5705,89.0749,79.6594,88.9777,0.9346
96,79.5240,88.9149,79.2274,88.8593,79.2743,88.9445,1.9346
97,79.2516,88.9136,79.1846,89.0734,79.1340,89.0287,4.2646
98,78.9791,88.9103,79.0860,89.3653,78.9961,89.2229,5.9979
99,78.7067,88.9050,78.8285,89.1771,78.7719,89.2356,2.2660
100,78.4341,88.8979,78.6048,89.2699,78.5638,89.2358,7.8538
101,78.1616,88.8890,77.8987,88.7648,78.0893,89.0531,4.5151
102,77.8891,88.8784,78.3091,89.1806,78.0956,89.1036,4.5136
103,77.6166,88.8662,77.9077,89.1464,77.8496,89.1201,1.8010
104,77.3441,88.8525,77.0868,88.7911,77.2895,88.9736,5.1551
105,77.0717,88.8374,77.2151,88.5082,77.1298,88.7601,2.3432
106,76.7992,88.8209,76.7060,88.8661,76.7450,88.7910,2.1249
107,76.5268,88.8031,76.5704,88.8772,76.5169,88.8045,2.9265
108,76.2545,88.7841,76.4770,89.1688,76.3828,88.9660,2.5577
109,75.9822,88.7639,75.9755,88.5586,76.0471,88.7848,1.7753
110,75.7099,88.7425,75.5636,88.9096,75.6387,88.8107,5.6425
111,75.4376,88.7202,75.0015,88.4856,75.1542,88.6594,2.8956
112,75.1654,88.6968,74.8512,88.3726,74.9098,88.5439,9.3732
113,74.8933,88.6724,75.1952,88.6771,74.9211,88.5657,5.3818
114,74.6220,88.6453,74.6854,88.5559,74.6516,88.5220,3.8876
115,74.3515,88.6157,74.5057,88.8164,74.4627,88.6516,5.4670
116,74.0820,88.5835,73.9903,88.2710,74.1090,88.4739,3.1827
117,73.8132,88.5490,73.7731,88.6169,73.7654,88.4951,3.8455
118,73.5453,88.5124,73.6873,88.9650,73.5724,88.6825,5.9888
119,73.2781,88.4737,73.2887,88.4773,73.2736,88.5562,2.0633
120,73.0118,88.4330,73.0379,88.3220,73.0279,88.4274,0.8806
121,72.7462,88.3905,72.9469,88.2088,72.8555,88.2951,0.8303
122,72.4814,88.3462,72.6350,88.2105,72.6258,88.2322,0.6366
123,72.2173,88.3003,72.2215,88.0845,72.2445,88.1171,3.4051
124,71.9539,88.2528,72.2834,88.0769,72.1179,88.0423,4.2390
125,71.6912,88.2039,71.5506,88.2791,71.6888,88.1201,5.3251
