Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,100.0000,75.0000,99.8725,75.3648,99.9790,75.1659,50.9541
1,99.8825,75.1182,99.7220,74.7961,99.6981,74.8453,2.6561
2,99.7650,75.2364,99.8655,75.4429,99.7902,75.3120,40.9401
3,99.6475,75.3546,99.3080,75.6453,99.4136,75.5819,14.2603
4,99.5300,75.4728,99.7245,75.4495,99.5842,75.5761,23.1253
5,99.4124,75.5910,99.4806,75.9964,99.4957,75.9173,5.8415
6,99.2949,75.7091,99.2893,75.9361,99.3173,76.0363,6.7289
7,99.1774,75.8273,99.2458,75.2036,99.2334,75.5516,41.2844
8,99.0599,75.9455,98.8756,76.1063,98.9497,75.8793,26.8727
9,98.9424,76.0637,99.0538,76.0063,98.9245,76.0573,49.3688
10,98.8249,76.1819,98.5680,75.8213,98.5872,76.0131,40.6496
11,98.7074,76.3001,98.9043,76.0883,98.7584,76.0195,40.3942
12,98.5899,76.4183,98.7509,76.8006,98.7514,76.4355,33.7276
13,98.4724,76.5365,98.6294,76.6949,98.6462,76.6497,5.2136
14,98.3549,76.6547,98.3448,76.8825,98.4112,76.8762,11.9429
15,98.2373,76.7729,98.3003,76.4914,98.3185,76.7141,26.9745
16,98.1198,76.8911,98.2535,77.0668,98.2268,76.9563,16.2803
17,98.0023,77.0092,98.0971,76.8151,98.1074,76.9412,5.7904
18,97.8848,77.1274,97.9511,77.4825,98.0019,77.2300,27.6480
19,97.7673,77.2456,97.9256,76.4632,97.8556,76.9975,74.2162
20,97.6498,77.3638,97.4904,77.5590,97.6001,77.2952,24.1326
21,97.5323,77.4820,97.3581,77.8490,97.4276,77.5872,23.8954
22,97.4148,77.6002,97.7696,77.3000,97.5852,77.5009,71.1771
23,97.2973,77.7184,97.2040,77.5586,97.3246,77.5717,17.4090
24,97.1798,77.8366,97.2594,77.5721,97.1914,77.6739,30.9546
25,97.0622,77.9548,96.9629,78.0586,96.9661,77.9598,35.9544
26,96.9447,78.0730,97.1938,77.8635,97.0491,77.9642,30.1691
27,96.8272,78.1912,96.7741,77.7588,96.8158,77.9666,20.9619
28,96.7097,78.3094,96.6901,77.8587,96.6927,77.9542,8.1691
29,96.5922,78.4275,96.6918,78.5285,96.6227,78.2747,22.9398
30,96.4747,78.5457,96.3698,78.2848,96.4605,78.3025,26.7662
31,96.3572,78.6639,96.4454,78.4635,96.3501,78.4866,32.8692
32,96.2397,78.7821,96.2953,78.7611,96.2971,78.6302,25.5035
33,96.1222,78.9003,95.9949,79.3836,96.0694,79.0441,41.6236
34,96.0047,79.0185,96.0501,78.7260,95.9938,78.9878,19.5621
35,95.8871,79.1367,96.0104,79.0246,95.9253,79.1147,25.1580
36,95.7696,79.2549,95.4068,79.5586,95.5682,79.4157,49.8106
37,95.6521,79.3731,95.6608,79.1252,95.5231,79.4102,26.5765
38,95.5346,79.4913,95.5022,79.8968,95.4596,79.6706,22.7001
39,95.4171,79.6095,95.1713,79.7978,95.2425,79.8060,4.8330
40,95.2996,79.7276,95.4071,79.8507,95.2529,79.9261,13.7636
41,95.1821,79.8458,95.2793,79.6201,95.2231,79.8599,23.8211
42,95.0646,79.9640,95.1231,80.5438,95.1083,80.2298,24.8116
43,94.9471,80.0822,95.3076,79.5449,95.1340,80.0923,137.8482
44,94.8296,80.2004,94.7470,80.2249,94.8795,80.2364,34.7252
45,94.7120,80.3186,94.7091,80.4436,94.7145,80.4183,10.0046
46,94.5945,80.4368,94.0792,80.4521,94.3562,80.4602,54.2924
47,94.4770,80.5550,94.8002,80.3860,94.5379,80.4849,53.9187
48,94.3595,80.6732,94.5939,80.5316,94.5125,80.5684,5.7373
49,94.2420,80.7914,94.1071,80.7808,94.2414,80.7232,16.3476
50,94.1245,80.9096,94.4758,81.5179,94.3018,81.1337,52.0917
51,94.0070,81.0277,93.9924,81.0811,94.0629,81.2220,22.7096
52,93.8895,81.1459,93.9703,81.4867,93.9443,81.4282,6.5729
53,93.7720,81.2641,93.6179,80.8874,93.7367,81.2713,51.8125
54,93.6545,81.3823,93.3723,80.8853,93.4792,81.2093,47.6638
55,93.5369,81.5005,93.2485,81.1738,93.3014,81.2399,8.0371
56,93.4194,81.6187,93.4995,81.8707,93.3262,81.5750,39.7765
57,93.3019,81.7369,93.0704,81.2656,93.1103,81.5094,87.0470
58,93.1844,81.8551,93.4467,82.0301,93.2508,81.7486,59.5656
59,93.0669,81.9733,93.1123,81.9869,93.1688,81.8646,43.8181
60,92.9494,82.0915,92.7707,82.0363,92.8973,82.0082,15.9335
61,92.8319,82.2097,92.9188,82.0677,92.8515,82.1028,3.9316
62,92.7144,82.3279,92.4307,82.6106,92.6431,82.2954,110.9955
63,92.5969,82.4460,92.4482,82.5512,92.4816,82.4704,2.0121
64,92.4794,82.5642,92.6608,82.3945,92.5051,82.5230,15.4160
65,92.3618,82.6824,92.3543,82.5475,92.3899,82.5867,10.8761
66,92.2443,82.8006,92.2922,83.1769,92.2796,82.8966,17.0753
67,92.1268,82.9188,92.1459,83.1012,92.1558,83.0624,4.2018
68,92.0093,83.0370,92.0402,83.1933,92.0670,83.1662,18.7619
69,91.8918,83.1552,91.7893,83.0246,91.8596,83.2139,26.2589
70,91.7743,83.2734,91.7377,83.5017,91.7617,83.3857,17.5669
71,91.6568,83.3916,91.7359,83.3355,91.6936,83.4452,5.5446
72,91.5393,83.5098,91.3414,83.8557,91.4216,83.7143,48.5377
73,91.4218,83.6280,91.4282,83.7665,91.3735,83.8253,24.5324
74,91.3043,83.7461,91.2854,83.7505,91.2823,83.8479,16.8301
75,91.1867,83.8643,91.3229,84.1528,91.2499,84.0360,7.1073
76,91.0692,83.9825,91.2579,84.0369,91.1983,84.1096,4.5602
77,90.9517,84.1007,91.0826,84.1001,91.0861,84.1772,2.0706
78,90.8342,84.2189,90.9079,83.9079,90.9310,84.1291,40.5312
79,90.7167,84.3371,90.5131,84.4933,90.6605,84.3585,29.8110
80,90.5992,84.4553,90.6397,84.3944,90.6005,84.4238,10.5636
81,90.4817,84.5735,90.6531,84.2628,90.5796,84.4331,19.5885
82,90.3642,84.6917,90.2046,84.7121,90.3356,84.6094,11.6169
83,90.2467,84.8099,90.1686,84.9618,90.1972,84.8061,6.2526
84,90.1292,84.9281,90.0172,84.7044,90.0536,84.8517,25.4466
85,90.0116,85.0462,90.1088,85.2534,90.0597,85.0545,55.8075
86,89.8941,85.1644,90.1254,85.6498,90.0594,85.3335,36.1785
87,89.7766,85.2826,89.7919,84.8870,89.8427,85.2405,59.2154
88,89.6591,85.4008,89.3743,85.6606,89.5458,85.4944,35.7632
89,89.5416,85.5190,89.7994,85.2482,89.5814,85.5135,60.1535
90,89.4241,85.6372,89.8748,85.7548,89.6678,85.6927,25.3159
91,89.3066,85.7554,89.3468,86.1011,89.4247,85.9469,39.0927
92,89.1891,85.8736,89.3039,85.8265,89.3009,85.9878,6.2167
93,89.0716,85.9918,89.0537,85.6932,89.1092,85.9550,17.8993
94,88.9541,86.1100,89.3923,86.0695,89.1927,86.0721,21.4763
95,88.8365,86.2282,88.7306,86.0498,88.9292,86.1174,35.8430
96,88.7190,86.3464,88.7091,86.1153,88.7884,86.1982,73.9908
97,88.6015,86.4645,88.5755,86.2572,88.6148,86.3211,29.0639
98,88.4840,86.5827,88.0720,86.6440,88.2786,86.5048,30.5784
99,88.3665,86.7009,88.5430,86.1868,88.3501,86.4307,46.3058
100,88.2490,86.8191,87.9983,87.1569,88.1449,86.7551,69.5902
101,88.1315,86.9373,87.9814,86.5903,87.9881,86.7634,11.4975
102,88.0140,87.0555,88.1212,86.6898,87.9590,86.8180,51.1471
103,87.8965,87.1737,87.9443,87.3446,87.8984,87.0637,30.2654
104,87.7789,87.2919,87.8780,87.3988,87.8101,87.2888,21.1778
105,87.6614,87.4101,87.5971,87.3910,87.6453,87.3786,17.7528
106,87.5439,87.5283,87.3563,87.1118,87.4639,87.3260,34.7937
107,87.4264,87.6465,87.3607,87.5845,87.3413,87.4973,4.9282
108,87.3089,87.7646,87.3012,88.0919,87.2555,87.8034,18.6198
109,87.1914,87.8828,87.6597,87.5250,87.3995,87.7538,58.3225
110,87.0739,88.0010,87.1513,88.1765,87.2419,87.9858,29.5021
111,86.9564,88.1192,86.9871,88.9563,87.0773,88.4380,74.2229
112,86.8389,88.2374,86.6821,88.2433,86.7984,88.4326,59.4415
113,86.7214,88.3556,86.6362,87.8355,86.6761,88.2712,52.3314
114,86.6038,88.4738,86.4036,88.7504,86.4684,88.5406,17.1329
115,86.4863,88.5920,86.6503,89.0532,86.4994,88.8193,23.8254
116,86.3688,88.7102,86.4852,88.0372,86.4455,88.5960,68.2519
117,86.2480,88.8253,86.1560,88.7621,86.2177,88.7356,27.8046
118,86.1241,88.9374,86.0648,88.8505,86.0817,88.8290,13.1695
119,85.9970,89.0462,85.9599,89.2428,85.9601,89.0488,10.2330
120,85.8670,89.1518,85.6212,89.2223,85.7231,89.1885,7.6677
121,85.7340,89.2539,85.9444,89.4316,85.7525,89.3727,33.9856
