Frame,GT_X(m),GT_Y(m),Meas_X(m),Meas_Y(m),Filt_X(m),Filt_Y(m),NIS
0,100.0000,75.0000,99.8725,75.3648,99.9790,75.1658,5.6616
1,99.8825,75.1182,99.7220,74.7961,99.7106,74.8736,0.5294
2,99.7650,75.2364,99.8655,75.4429,99.7938,75.3063,4.3023
3,99.6475,75.3546,99.3080,75.6453,99.4159,75.5716,1.6312
4,99.5300,75.4728,99.7245,75.4495,99.5749,75.5708,2.4991
5,99.4124,75.5910,99.4806,75.9964,99.4796,75.8967,0.6720
6,99.2949,75.7091,99.2893,75.9361,99.3098,76.0228,0.5391
7,99.1774,75.8273,99.2458,75.2036,99.2271,75.6292,5.4735
8,99.0599,75.9455,98.8756,76.1063,98.9567,75.9185,2.0112
9,98.9424,76.0637,99.0538,76.0063,98.9295,76.0818,5.2328
10,98.8249,76.1819,98.5680,75.8213,98.5951,76.0438,4.7749
11,98.7074,76.3001,98.9043,76.0883,98.7691,76.0495,4.1641
12,98.5899,76.4183,98.7509,76.8006,98.7552,76.4514,3.3239
13,98.4724,76.5365,98.6294,76.6949,98.6434,76.6571,0.5367
14,98.3549,76.6547,98.3448,76.8825,98.4015,76.8783,1.2129
15,98.2373,76.7729,98.3003,76.4914,98.3147,76.7053,2.9114
16,98.1198,76.8911,98.2535,77.0668,98.2255,76.9569,1.8246
17,98.0023,77.0092,98.0971,76.8151,98.1054,76.9353,0.6180
18,97.8848,77.1274,97.9511,77.4825,98.0008,77.2365,3.0526
19,97.7673,77.2456,97.9256,76.4632,97.8522,76.9806,8.0998
20,97.6498,77.3638,97.4904,77.5590,97.5886,77.3011,2.6015
21,97.5323,77.4820,97.3581,77.8490,97.4208,77.6031,2.5366
22,97.4148,77.6002,97.7696,77.3000,97.6058,77.4940,7.6286
23,97.2973,77.7184,97.2040,77.5586,97.3209,77.5659,1.9800
24,97.1798,77.8366,97.2594,77.5721,97.1892,77.6715,3.4393
25,97.0622,77.9548,96.9629,78.0586,96.9572,77.9740,3.8704
26,96.9447,78.0730,97.1938,77.8635,97.0642,77.9624,3.2371
27,96.8272,78.1912,96.7741,77.7588,96.8122,77.9569,2.3217
28,96.7097,78.3094,96.6901,77.8587,96.6916,77.9400,0.8500
29,96.5922,78.4275,96.6918,78.5285,96.6274,78.2888,2.4900
30,96.4747,78.5457,96.3698,78.2848,96.4591,78.3036,3.0003
31,96.3572,78.6639,96.4454,78.4635,96.3510,78.4956,3.6254
32,96.2397,78.7821,96.2953,78.7611,96.3042,78.6390,2.7878
33,96.1222,78.9003,95.9949,79.3836,96.0626,79.0783,4.2377
34,96.0047,79.0185,96.0501,78.7260,95.9960,78.9875,2.3088
35,95.8871,79.1367,96.0104,79.0246,95.9316,79.1146,2.7721
36,95.7696,79.2549,95.4068,79.5586,95.5488,79.4329,5.2189
37,95.6521,79.3731,95.6608,79.1252,95.5240,79.4046,3.0258
38,95.5346,79.4913,95.5022,79.8968,95.4671,79.6804,2.4637
39,95.4171,79.6095,95.1713,79.7978,95.2376,79.8104,0.5342
40,95.2996,79.7276,95.4071,79.8507,95.2652,79.9258,1.4449
41,95.1821,79.8458,95.2793,79.6201,95.2379,79.8374,2.3840
42,95.0646,79.9640,95.1231,80.5438,95.1151,80.2426,2.7677
43,94.9471,80.0822,95.3076,79.5449,95.1509,80.0691,15.0101
44,94.8296,80.2004,94.7470,80.2249,94.8720,80.2250,3.8861
45,94.7120,80.3186,94.7091,80.4436,94.7062,80.4178,1.0941
46,94.5945,80.4368,94.0792,80.4521,94.3288,80.4502,5.5788
47,94.4770,80.5550,94.8002,80.3860,94.5579,80.4683,5.7872
48,94.3595,80.6732,94.5939,80.5316,94.5304,80.5553,0.4838
49,94.2420,80.7914,94.1071,80.7808,94.2329,80.7203,1.8335
50,94.1245,80.9096,94.4758,81.5179,94.3163,81.1649,5.3965
51,94.0070,81.0277,93.9924,81.0811,94.0559,81.2343,2.5823
52,93.8895,81.1459,93.9703,81.4867,93.9409,81.4431,0.6813
53,93.7720,81.2641,93.6179,80.8874,93.7259,81.2461,5.5318
54,93.6545,81.3823,93.3723,80.8853,93.4606,81.1739,4.8221
55,93.5369,81.5005,93.2485,81.1738,93.2885,81.2108,0.7342
56,93.4194,81.6187,93.4995,81.8707,93.3372,81.5849,4.4363
57,93.3019,81.7369,93.0704,81.2656,93.1061,81.4943,9.6224
58,93.1844,81.8551,93.4467,82.0301,93.2772,81.7555,6.2364
59,93.0669,81.9733,93.1123,81.9869,93.1841,81.8691,4.8283
60,92.9494,82.0915,92.7707,82.0363,92.8876,82.0143,1.7380
61,92.8319,82.2097,92.9188,82.0677,92.8551,82.1040,0.4459
62,92.7144,82.3279,92.4307,82.6106,92.6353,82.3053,12.2714
63,92.5969,82.4460,92.4482,82.5512,92.4742,82.4826,0.1675
64,92.4794,82.5642,92.6608,82.3945,92.5175,82.5219,1.6499
65,92.3618,82.6824,92.3543,82.5475,92.3957,82.5796,1.1953
66,92.2443,82.8006,92.2922,83.1769,92.2829,82.9153,1.8007
67,92.1268,82.9188,92.1459,83.1012,92.1565,83.0779,0.4377
68,92.0093,83.0370,92.0402,83.1933,92.0702,83.1720,2.0947
69,91.8918,83.1552,91.7893,83.0246,91.8513,83.2076,2.8728
70,91.7743,83.2734,91.7377,83.5017,91.7604,83.3876,1.9632
71,91.6568,83.3916,91.7359,83.3355,91.6984,83.4382,0.5895
72,91.5393,83.5098,91.3414,83.8557,91.4073,83.7274,5.2360
73,91.4218,83.6280,91.4282,83.7665,91.3753,83.8304,2.7622
74,91.3043,83.7461,91.2854,83.7505,91.2863,83.8378,1.8345
75,91.1867,83.8643,91.3229,84.1528,91.2610,84.0376,0.7338
76,91.0692,83.9825,91.2579,84.0369,91.2100,84.1038,0.4370
77,90.9517,84.1007,91.0826,84.1001,91.0911,84.1668,0.2059
78,90.8342,84.2189,90.9079,83.9079,90.9283,84.1025,4.3147
79,90.7167,84.3371,90.5131,84.4933,90.6424,84.3569,3.2068
80,90.5992,84.4553,90.6397,84.3944,90.5989,84.4163,1.1994
81,90.4817,84.5735,90.6531,84.2628,90.5893,84.4159,2.0447
82,90.3642,84.6917,90.2046,84.7121,90.3260,84.6073,1.2817
83,90.2467,84.8099,90.1686,84.9618,90.1910,84.8149,0.6630
84,90.1292,84.9281,90.0172,84.7044,90.0484,84.8481,2.8227
85,90.0116,85.0462,90.1088,85.2534,90.0713,85.0631,6.1119
86,89.8941,85.1644,90.1254,85.6498,90.0771,85.3579,3.7081
87,89.7766,85.2826,89.7919,84.8870,89.8392,85.2279,6.6308
88,89.6591,85.4008,89.3743,85.6606,89.5246,85.5037,3.7183
89,89.5416,85.5190,89.7994,85.2482,89.5892,85.5061,6.7012
90,89.4241,85.6372,89.8748,85.7548,89.6932,85.6959,2.4702
91,89.3066,85.7554,89.3468,86.1011,89.4214,85.9650,4.3280
92,89.1891,85.8736,89.3039,85.8265,89.2982,85.9875,0.7225
93,89.0716,85.9918,89.0537,85.6932,89.0994,85.9357,1.8341
94,88.9541,86.1100,89.3923,86.0695,89.2099,86.0610,2.2384
95,88.8365,86.2282,88.7306,86.0498,88.9200,86.1023,3.9239
96,88.7190,86.3464,88.7091,86.1153,88.7813,86.1855,8.1846
97,88.6015,86.4645,88.5755,86.2572,88.6053,86.3152,3.1945
98,88.4840,86.5827,88.0720,86.6440,88.2509,86.5102,2.9807
99,88.3665,86.7009,88.5430,86.1868,88.3595,86.4108,5.0843
100,88.2490,86.8191,87.9983,87.1569,88.1401,86.7704,7.7054
101,88.1315,86.9373,87.9814,86.5903,87.9826,86.7592,1.2839
